"","Overall","1","2","3","p","test"
"n","413146","103287","206574","103285","",""
"sex = 2 (%)","190849 (46.2)","48556 (47.0)","95248 (46.1)","47045 (45.5)","<0.001",""
"age (mean (SD))","56.54 (8.09)","55.91 (7.89)","56.54 (8.05)","57.16 (8.31)","<0.001",""
"income (%)","","","","","<0.001",""
"   1","40844 (9.9)","10029 (9.7)","20412 (9.9)","10403 (10.1)","",""
"   2","17370 (4.2)","4084 (4.0)","8458 (4.1)","4828 (4.7)","",""
"   3","79972 (19.4)","16934 (16.4)","39005 (18.9)","24033 (23.3)","",""
"   4","89874 (21.8)","21489 (20.9)","44821 (21.8)","23564 (22.9)","",""
"   5","92455 (22.4)","23997 (23.3)","46929 (22.8)","21529 (20.9)","",""
"   6","72283 (17.5)","20577 (20.0)","36749 (17.8)","14957 (14.5)","",""
"   7","19249 (4.7)","5948 (5.8)","9688 (4.7)","3613 (3.5)","",""
"townsend (mean (SD))","-1.33 (3.08)","-1.34 (3.10)","-1.40 (3.03)","-1.17 (3.14)","<0.001",""
"total_met (mean (SD))","1619.08 (2015.70)","1671.02 (2018.22)","1617.55 (2012.63)","1568.39 (2018.03)","<0.001",""
"diet_quality (mean (SD))","3.29 (1.57)","3.41 (1.57)","3.29 (1.57)","3.16 (1.57)","<0.001",""
"sleep_hour (mean (SD))","7.15 (1.10)","7.13 (1.08)","7.15 (1.09)","7.18 (1.16)","<0.001",""
"smoke_cat (%)","","","","","<0.001",""
"   1","32255 (7.8)","6618 (6.4)","15628 (7.6)","10009 (9.7)","",""
"   2","11334 (2.7)","3051 (3.0)","5572 (2.7)","2711 (2.6)","",""
"   3","96062 (23.3)","24055 (23.3)","48085 (23.3)","23922 (23.2)","",""
"   4","47431 (11.5)","12149 (11.8)","23838 (11.5)","11444 (11.1)","",""
"   5","60211 (14.6)","15418 (14.9)","30402 (14.7)","14391 (13.9)","",""
"   6","165853 (40.1)","41996 (40.7)","83049 (40.2)","40808 (39.5)","",""
"total_alcohol (mean (SD))","12.55 (15.17)","12.98 (15.08)","12.63 (15.06)","11.95 (15.44)","<0.001",""
"non_hdl (mean (SD))","359.49 (78.74)","368.07 (79.61)","361.33 (78.16)","347.34 (77.58)","<0.001",""
"tg (mean (SD))","92.17 (22.17)","90.77 (18.16)","91.81 (21.11)","94.30 (27.18)","<0.001",""
"bp_cat (mean (SD))","49.88 (28.78)","49.89 (28.39)","49.86 (28.70)","49.93 (29.30)","0.806",""
